Name	Region	URL
ASEAN Key Documents and Publications	ASEAN countries	https://asean.org/our-communities/economic-community/standard-and-conformance/key-documents-publications/
ASEAN Agreements and Declarations	ASEAN countries	https://asean.org/our-communities/economic-community/standard-and-conformance/agreements-and-declarations/
BPOM Latest News	Indonesia	https://www.pom.go.id/berita
BPOM Press Release	Indonesia	https://www.pom.go.id/siaran-pers
Indonesian Food and Drug Monitoring Agency Legal Documentation and Information Network	Indonesia	https://jdih.pom.go.id/
